title_en,year,rating,genre,synopsis
Fargo,1996,8.1,Cop Drama,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Trainspotting,1996,8.1,Dark Comedy,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
Children of Heaven,1997,8.2,Drama,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Princess Mononoke,1997,8.3,Action Epic,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
L.A. Confidential,1997,8.2,Conspiracy Thriller,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Good Will Hunting,1997,8.3,Coming-of-Age,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Life Is Beautiful,1997,8.6,Period Drama,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
"Lock, Stock and Two Smoking Barrels",1998,8.1,Farce,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
The Truman Show,1998,8.2,High-Concept Comedy,"An insurance salesman is oblivious of the fact that his entire life is a TV show and his family members are mere actors. As he starts noticing things and uncovers the truth, he decides to escape."
American History X,1998,8.5,Prison Drama,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
The Big Lebowski,1998,8.1,Satire,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
Saving Private Ryan,1998,8.6,Epic,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
The Matrix,1999,8.7,Action Epic,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
The Green Mile,1999,8.6,Period Drama,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution."
Fight Club,1999,8.8,Psychological Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Iron Giant,1999,8.1,Alien Invasion,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
American Beauty,1999,8.3,Psychological Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
The Sixth Sense,1999,8.2,Psychological Drama,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
Snatch,2000,8.2,Caper,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Memento,2000,8.4,Psychological Thriller,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers."
Gladiator,2000,8.5,Action Epic,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Requiem for a Dream,2000,8.3,Psychological Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..
Amores Perros,2000,8.0,Tragedy,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City."
"Monsters, Inc.",2001,8.1,Buddy Comedy,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
Amélie,2001,8.3,Feel-Good Romance,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,Adventure Epic,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Spirited Away,2001,8.6,Anime,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
A Beautiful Mind,2001,8.2,Docudrama,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
City of God,2002,8.6,Coming-of-Age,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Catch Me If You Can,2002,8.1,Caper,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
The Lord of the Rings: The Two Towers,2002,8.8,Adventure Epic,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
The Pianist,2002,8.5,Docudrama,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
Memories of Murder,2003,8.1,Police Procedural,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Oldboy,2003,8.3,One-Person Army Action,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,Sea Adventure,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
Kill Bill: Vol. 1,2003,8.2,Martial Arts,"After waking from a 4-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Finding Nemo,2003,8.2,Animal Adventure,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
